sampleid	read_count	percentage_nonresident_reads	Project_ID	Case_Control	Disease_Level_1	Disease_Level_2
SRR13762714	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762715	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762716	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762717	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762719	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762723	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762724	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762727	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762729	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762731	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762734	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762735	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762736	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762739	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762743	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762744	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762746	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762747	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762748	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762749	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762750	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762752	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762753	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762755	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762757	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762760	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762761	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762762	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762765	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762766	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762768	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR14200631	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200632	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200635	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200637	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200639	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200644	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200645	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200646	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200650	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200684	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200688	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200691	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200693	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200697	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200701	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200703	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200706	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200709	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200710	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200711	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200714	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200716	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200718	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200719	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200720	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200726	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200731	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200741	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200743	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200745	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200747	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200748	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200750	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200751	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200753	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200758	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200760	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200762	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200764	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200765	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200766	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200767	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200768	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200769	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200770	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200771	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200772	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200773	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200774	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200775	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200776	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200777	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200778	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200779	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200780	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200781	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200782	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200783	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200785	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200786	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200787	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200789	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200790	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200791	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200792	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200793	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200795	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200796	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200797	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200798	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200799	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200802	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200803	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200805	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200806	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200807	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200808	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200809	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200810	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200811	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200821	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200825	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200828	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200830	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200831	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200833	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200834	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200862	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200863	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200867	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200869	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200870	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200871	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR14200874	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200876	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200884	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200885	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200887	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200888	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200893	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200894	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200895	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200896	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14200897	3000	0.000	PRJNA703732	Control	Liver	Alcohol-Associated-LD
SRR14736960	3000	0.000	PRJNA735021	Case	Autoimmune	RA
SRR14737021	3000	0.000	PRJNA735021	Case	Autoimmune	RA
SRR14737025	3000	0.000	PRJNA735021	Case	Autoimmune	RA
SRR15323179	3000	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323181	3000	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323184	3000	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323186	3000	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323187	3000	0.000	PRJNA751473	Case	Autoimmune	AD
SRR15323195	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323197	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323200	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323201	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323205	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323206	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15323210	3000	0.000	PRJNA751473	Control	Autoimmune	AD
SRR15531404	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531406	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531407	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531408	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531409	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531411	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531412	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531413	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531415	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531416	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531417	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531421	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531423	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531424	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531425	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531428	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531429	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531430	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531433	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531434	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531436	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531439	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531441	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531443	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531444	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531445	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531446	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531451	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531452	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531454	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531455	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531456	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531458	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531461	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531463	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531464	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531465	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531466	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531468	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531469	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531470	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531471	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531473	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531474	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531475	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531476	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531479	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531484	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531486	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531489	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531490	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531491	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531492	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531493	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531494	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531495	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531496	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531498	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531499	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531500	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531501	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531502	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531504	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531505	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531507	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531508	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531509	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531510	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531511	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531512	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531513	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531514	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531515	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531516	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531517	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531518	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531519	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531520	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531521	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531523	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531524	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531525	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531526	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531527	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531529	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531530	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531531	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531532	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531534	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531536	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531537	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531538	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531540	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531543	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531544	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531546	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531547	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531548	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531550	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531557	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531558	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531559	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531560	3000	0.000	PRJNA756382	Control	Metabolic	T1DM
SRR15531561	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531562	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531563	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531564	0	1.000	PRJNA756382	Case	Metabolic	T1DM
SRR15531565	3000	0.000	PRJNA756382	Case	Metabolic	T1DM
SRR17008342	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17008344	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17008392	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17008414	3000	0.000	PRJNA703732	Case	Liver	Alcohol-Associated-LD
SRR17285777	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285796	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285801	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285836	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285853	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285860	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285861	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285862	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285863	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285868	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285869	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285871	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285877	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285878	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285880	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285885	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285887	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285897	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285900	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285909	3000	0.000	PRJNA791216	Control	Autoimmune	RA
SRR17285977	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285978	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285979	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285982	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285986	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285987	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285988	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285989	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285993	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17285994	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17286005	3000	0.000	PRJNA791216	Case	Autoimmune	RA
SRR17430166	3000	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR17430167	3000	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR17430172	3000	0.000	PRJNA794154	Case	Infectious	COVID-19
SRR17430179	3000	0.000	PRJNA794154	Control	Infectious	COVID-19
SRR18267975	3000	0.000	PRJNA813503	Control	Metabolic	GDM
SRR18268031	3000	0.000	PRJNA813503	Control	Metabolic	GDM
SRR18268058	3000	0.000	PRJNA813503	Case	Metabolic	GDM
SRR18268059	3000	0.000	PRJNA813503	Case	Metabolic	GDM
SRR20665777	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665781	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665782	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665787	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665790	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665792	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665801	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665806	3000	0.000	PRJNA778607	Control	Infectious	HD
SRR20665813	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665824	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665839	3000	0.000	PRJNA778607	Control	Infectious	HD
SRR20665846	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665851	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665857	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665861	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665869	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665871	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665874	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665875	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665877	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR20665879	3000	0.000	PRJNA778607	Case	Infectious	HD
SRR6308467	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308470	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308472	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308474	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308476	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308479	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308481	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308482	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308483	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308484	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308485	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308486	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308487	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308491	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308493	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308495	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308496	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308497	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308498	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308499	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308500	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308503	3000	0.000	PRJNA419104	Case	Infectious	CDI
SRR6308504	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308506	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308532	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR6308536	3000	0.000	PRJNA419104	Control	Infectious	CDI
SRR8536911	3000	0.000	PRJNA517994	Control	Liver	Alcohol-Associated-LD
SRR8536914	3000	0.000	PRJNA517994	Control	Liver	Alcohol-Associated-LD
SRR8536917	3000	0.000	PRJNA517994	Control	Liver	Alcohol-Associated-LD
SRR8536923	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536924	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536925	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536927	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536929	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536932	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536934	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536935	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536940	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536944	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536946	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536947	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536952	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536953	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536956	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536959	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536963	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536965	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536966	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
SRR8536967	3000	0.000	PRJNA517994	Case	Liver	Alcohol-Associated-LD
